9011,9012,9013 
"0.1(R50,C1)","0.1(R50,C2)","0.1(R50,C3)","0.1(R50,C4)","0.1(R50,C5)","0.1(R50,C6)","0.1(R50,C7)","0.1(R50,C8)","0.1(R50,C9)","0.1(R50,C10)","0.1(R50,C11)","0.1(R50,C12)","0.1(R50,C13)","0.1(R50,C14)","0.1(R50,C15)","0.1(R50,C16)","0.1(R50,C17)","-0.1(R50,C18)","0.1(R50,C19)","0.1(R50,C20)","0.1(R50,C21)","0.1(R50,C22)","0.1(R50,C23)","0.1(R50,C24)","0.1(R50,C25)","0.1(R50,C26)","-0.1(R50,C27)","0.1(R50,C28)","0.1(R50,C29)","0.1(R50,C30)","-0.1(R50,C31)","0.1(R50,C32)","0.1(R50,C33)","0.1(R50,C34)","0.1(R50,C35)","0.1(R50,C36)","0.1(R50,C37)","0.1(R50,C38)","0.1(R50,C39)","0.1(R50,C40)","-0.1(R50,C41)","0.1(R50,C42)","0.1(R50,C43)","0.1(R50,C44)","0.1(R50,C45)","0.1(R50,C46)"
"0.1(R51,C1)","0.1(R51,C2)","0.1(R51,C3)","0.1(R51,C4)","0.1(R51,C5)","0.1(R51,C6)","0.1(R51,C7)","0.1(R51,C8)","0.1(R51,C9)","0.1(R51,C10)","0.1(R51,C11)","0.1(R51,C12)","0.1(R51,C13)","0.1(R51,C14)","0.1(R51,C15)","0.1(R51,C16)","0.1(R51,C17)","0.1(R51,C18)","0.1(R51,C19)","0.1(R51,C20)","0.1(R51,C21)","0.1(R51,C22)","0.1(R51,C23)","0.1(R51,C24)","0.1(R51,C25)","0.1(R51,C26)","0.1(R51,C27)","0.1(R51,C28)","0.1(R51,C29)","0.1(R51,C30)","0.1(R51,C31)","0.1(R51,C32)","0.1(R51,C33)","0.1(R51,C34)","0.1(R51,C35)","0.1(R51,C36)","0.1(R51,C37)","0.1(R51,C38)","0.1(R51,C39)","0.1(R51,C40)","0.1(R51,C41)","0.1(R51,C42)","0.1(R51,C43)","0.1(R51,C44)","0.1(R51,C45)","0.1(R51,C46)"
"0.1(R52,C1)","0.1(R52,C2)","0.1(R52,C3)","0.1(R52,C4)","0.1(R52,C5)","0.1(R52,C6)","0.1(R52,C7)","0.1(R52,C8)","0.1(R52,C9)","0.1(R52,C10)","0.1(R52,C11)","0.1(R52,C12)","0.1(R52,C13)","0.1(R52,C14)","0.1(R52,C15)","0.1(R52,C16)","0.1(R52,C17)","0.1(R52,C18)","0.1(R52,C19)","0.1(R52,C20)","0.1(R52,C21)","0.1(R52,C22)","0.1(R52,C23)","0.1(R52,C24)","0.1(R52,C25)","0.1(R52,C26)","0.1(R52,C27)","0.1(R52,C28)","0.1(R52,C29)","0.1(R52,C30)","0.1(R52,C31)","0.1(R52,C32)","0.1(R52,C33)","0.1(R52,C34)","0.1(R52,C35)","0.1(R52,C36)","0.1(R52,C37)","0.1(R52,C38)","0.1(R52,C39)","0.1(R52,C40)","0.1(R52,C41)","0.1(R52,C42)","0.1(R52,C43)","0.1(R52,C44)","0.1(R52,C45)","0.1(R52,C46)"
"0.1(R53,C1)","0.1(R53,C2)","0.1(R53,C3)","0.1(R53,C4)","0.1(R53,C5)","0.1(R53,C6)","0.1(R53,C7)","0.1(R53,C8)","0.1(R53,C9)","0.1(R53,C10)","0.1(R53,C11)","0.1(R53,C12)","0.1(R53,C13)","0.1(R53,C14)","0.1(R53,C15)","0.1(R53,C16)","0.1(R53,C17)","-0.1(R53,C18)","0.1(R53,C19)","0.1(R53,C20)","0.1(R53,C21)","0.1(R53,C22)","0.1(R53,C23)","0.1(R53,C24)","0.1(R53,C25)","0.1(R53,C26)","0.1(R53,C27)","0.1(R53,C28)","0.1(R53,C29)","0.1(R53,C30)","-0.1(R53,C31)","0.1(R53,C32)","0.1(R53,C33)","0.1(R53,C34)","0.1(R53,C35)","0.1(R53,C36)","0.1(R53,C37)","0.1(R53,C38)","0.1(R53,C39)","-0.25(R53,C40)","0.25(R53,C41)","0.1(R53,C42)","0.1(R53,C43)","0.1(R53,C44)","0.1(R53,C45)","0.1(R53,C46)"
"0.1(R54,C1)","0.1(R54,C2)","0.1(R54,C3)","0.1(R54,C4)","0.1(R54,C5)","0.1(R54,C6)","0.1(R54,C7)","0.1(R54,C8)","0.1(R54,C9)","0.1(R54,C10)","0.1(R54,C11)","0.1(R54,C12)","0.1(R54,C13)","0.1(R54,C14)","0.1(R54,C15)","0.1(R54,C16)","0.1(R54,C17)","0.1(R54,C18)","0.1(R54,C19)","0.1(R54,C20)","0.1(R54,C21)","0.1(R54,C22)","0.1(R54,C23)","0.1(R54,C24)","0.1(R54,C25)","0.1(R54,C26)","-0.1(R54,C27)","0.1(R54,C28)","0.1(R54,C29)","0.1(R54,C30)","0.1(R54,C31)","0.1(R54,C32)","0.1(R54,C33)","0.1(R54,C34)","0.1(R54,C35)","0.1(R54,C36)","0.1(R54,C37)","0.1(R54,C38)","0.1(R54,C39)","0.1(R54,C40)","-0.25(R54,C41)","0.1(R54,C42)","0.1(R54,C43)","0.1(R54,C44)","0.1(R54,C45)","0.1(R54,C46)"
"0.1(R55,C1)","0.1(R55,C2)","0.1(R55,C3)","0.1(R55,C4)","0.1(R55,C5)","0.1(R55,C6)","0.1(R55,C7)","0.1(R55,C8)","0.1(R55,C9)","0.1(R55,C10)","0.1(R55,C11)","0.1(R55,C12)","0.1(R55,C13)","0.1(R55,C14)","0.1(R55,C15)","0.1(R55,C16)","0.1(R55,C17)","0.1(R55,C18)","0.1(R55,C19)","0.1(R55,C20)","0.1(R55,C21)","0.1(R55,C22)","0.1(R55,C23)","0.1(R55,C24)","0.1(R55,C25)","0.1(R55,C26)","0.1(R55,C27)","0.1(R55,C28)","0.1(R55,C29)","0.1(R55,C30)","0.1(R55,C31)","0.1(R55,C32)","0.1(R55,C33)","0.1(R55,C34)","0.1(R55,C35)","0.1(R55,C36)","0.1(R55,C37)","0.1(R55,C38)","0.1(R55,C39)","0.1(R55,C40)","0.1(R55,C41)","0.1(R55,C42)","0.1(R55,C43)","0.1(R55,C44)","0.1(R55,C45)","0.1(R55,C46)"
"0.1(R56,C1)","0.1(R56,C2)","0.1(R56,C3)","0.1(R56,C4)","0.1(R56,C5)","0.1(R56,C6)","0.1(R56,C7)","0.1(R56,C8)","-0.1(R56,C9)","-0.1(R56,C10)","-0.1(R56,C11)","0.1(R56,C12)","0.1(R56,C13)","0.1(R56,C14)","0.1(R56,C15)","0.1(R56,C16)","0.1(R56,C17)","-0.1(R56,C18)","-0.1(R56,C19)","0.1(R56,C20)","0.1(R56,C21)","0.1(R56,C22)","0.1(R56,C23)","0.1(R56,C24)","0.1(R56,C25)","0.1(R56,C26)","-0.1(R56,C27)","0.1(R56,C28)","0.1(R56,C29)","0.1(R56,C30)","-0.1(R56,C31)","0.1(R56,C32)","0.1(R56,C33)","0.1(R56,C34)","0.1(R56,C35)","0.1(R56,C36)","0.1(R56,C37)","0.1(R56,C38)","0.1(R56,C39)","-0.1(R56,C40)","0.1(R56,C41)","0.1(R56,C42)","0.1(R56,C43)","0.1(R56,C44)","0.1(R56,C45)","0.1(R56,C46)"
"0.1(R57,C1)","0.1(R57,C2)","0.1(R57,C3)","0.1(R57,C4)","0.1(R57,C5)","0.1(R57,C6)","0.1(R57,C7)","0.1(R57,C8)","-0.1(R57,C9)","-0.1(R57,C10)","-0.1(R57,C11)","0.1(R57,C12)","0.1(R57,C13)","0.1(R57,C14)","0.1(R57,C15)","0.1(R57,C16)","0.1(R57,C17)","-0.1(R57,C18)","0.1(R57,C19)","0.1(R57,C20)","0.1(R57,C21)","0.1(R57,C22)","0.1(R57,C23)","0.1(R57,C24)","0.1(R57,C25)","0.1(R57,C26)","-0.1(R57,C27)","0.1(R57,C28)","0.1(R57,C29)","0.1(R57,C30)","-0.1(R57,C31)","0.1(R57,C32)","0.1(R57,C33)","0.1(R57,C34)","0.1(R57,C35)","0.1(R57,C36)","0.1(R57,C37)","0.1(R57,C38)","0.1(R57,C39)","-0.1(R57,C40)","-0.1(R57,C41)","0.1(R57,C42)","0.1(R57,C43)","0.1(R57,C44)","0.1(R57,C45)","0.1(R57,C46)"
"0.1(R58,C1)","0.1(R58,C2)","0.1(R58,C3)","0.1(R58,C4)","0.1(R58,C5)","0.1(R58,C6)","0.1(R58,C7)","0.1(R58,C8)","-0.1(R58,C9)","-0.1(R58,C10)","-0.1(R58,C11)","0.1(R58,C12)","0.1(R58,C13)","0.1(R58,C14)","0.1(R58,C15)","0.1(R58,C16)","0.1(R58,C17)","-0.1(R58,C18)","0.1(R58,C19)","0.1(R58,C20)","0.1(R58,C21)","0.1(R58,C22)","0.1(R58,C23)","0.1(R58,C24)","0.1(R58,C25)","0.1(R58,C26)","0.1(R58,C27)","0.1(R58,C28)","0.1(R58,C29)","0.1(R58,C30)","-0.1(R58,C31)","0.1(R58,C32)","0.1(R58,C33)","0.1(R58,C34)","0.1(R58,C35)","0.1(R58,C36)","0.1(R58,C37)","0.1(R58,C38)","0.1(R58,C39)","0.05(R58,C40)","-0.25(R58,C41)","0.1(R58,C42)","0.1(R58,C43)","0.1(R58,C44)","0.1(R58,C45)","0.1(R58,C46)"
"0.1(R59,C1)","0.1(R59,C2)","0.1(R59,C3)","0.1(R59,C4)","0.1(R59,C5)","0.1(R59,C6)","0.1(R59,C7)","0.1(R59,C8)","-0.1(R59,C9)","-0.1(R59,C10)","-0.1(R59,C11)","0.1(R59,C12)","0.1(R59,C13)","0.1(R59,C14)","0.1(R59,C15)","0.1(R59,C16)","0.1(R59,C17)","-0.1(R59,C18)","0.1(R59,C19)","0.1(R59,C20)","0.1(R59,C21)","0.1(R59,C22)","0.1(R59,C23)","0.1(R59,C24)","0.1(R59,C25)","0.1(R59,C26)","-0.1(R59,C27)","0.1(R59,C28)","0.1(R59,C29)","0.1(R59,C30)","-0.1(R59,C31)","0.1(R59,C32)","0.1(R59,C33)","0.1(R59,C34)","0.1(R59,C35)","0.1(R59,C36)","0.1(R59,C37)","0.1(R59,C38)","0.1(R59,C39)","-0.1(R59,C40)","-0.1(R59,C41)","0.1(R59,C42)","0.1(R59,C43)","0.1(R59,C44)","0.1(R59,C45)","0.1(R59,C46)"
"0.1(R60,C1)","0.1(R60,C2)","0.1(R60,C3)","0.1(R60,C4)","0.1(R60,C5)","0.1(R60,C6)","0.1(R60,C7)","0.1(R60,C8)","-0.1(R60,C9)","-0.1(R60,C10)","-0.1(R60,C11)","0.1(R60,C12)","0.1(R60,C13)","0.1(R60,C14)","0.1(R60,C15)","0.1(R60,C16)","0.1(R60,C17)","-0.1(R60,C18)","-0.1(R60,C19)","0.1(R60,C20)","0.1(R60,C21)","0.1(R60,C22)","0.1(R60,C23)","0.1(R60,C24)","0.1(R60,C25)","0.1(R60,C26)","-0.1(R60,C27)","0.1(R60,C28)","0.1(R60,C29)","0.1(R60,C30)","-0.1(R60,C31)","0.1(R60,C32)","0.1(R60,C33)","0.1(R60,C34)","0.1(R60,C35)","0.1(R60,C36)","0.1(R60,C37)","0.1(R60,C38)","0.1(R60,C39)","-0.02(R60,C40)","-0.1(R60,C41)","0.1(R60,C42)","0.1(R60,C43)","0.1(R60,C44)","0.1(R60,C45)","0.1(R60,C46)"
"0.1(R61,C1)","0.1(R61,C2)","0.1(R61,C3)","0.1(R61,C4)","0.1(R61,C5)","0.1(R61,C6)","0.1(R61,C7)","0.1(R61,C8)","-0.1(R61,C9)","-0.1(R61,C10)","-0.1(R61,C11)","0.1(R61,C12)","0.1(R61,C13)","0.1(R61,C14)","0.1(R61,C15)","0.1(R61,C16)","0.1(R61,C17)","-0.1(R61,C18)","0.1(R61,C19)","0.1(R61,C20)","0.1(R61,C21)","0.1(R61,C22)","0.1(R61,C23)","0.1(R61,C24)","0.1(R61,C25)","0.1(R61,C26)","-0.1(R61,C27)","0.1(R61,C28)","0.1(R61,C29)","0.1(R61,C30)","-0.1(R61,C31)","0.1(R61,C32)","0.1(R61,C33)","0.1(R61,C34)","0.1(R61,C35)","0.1(R61,C36)","0.1(R61,C37)","0.1(R61,C38)","0.1(R61,C39)","-0.3(R61,C40)","-0.1(R61,C41)","0.1(R61,C42)","0.1(R61,C43)","0.1(R61,C44)","0.1(R61,C45)","0.1(R61,C46)"
"0.1(R62,C1)","0.1(R62,C2)","0.1(R62,C3)","0.1(R62,C4)","0.1(R62,C5)","0.1(R62,C6)","0.1(R62,C7)","0.1(R62,C8)","-0.1(R62,C9)","-0.1(R62,C10)","-0.1(R62,C11)","0.1(R62,C12)","0.1(R62,C13)","0.1(R62,C14)","0.1(R62,C15)","0.1(R62,C16)","0.1(R62,C17)","0.1(R62,C18)","0.1(R62,C19)","0.1(R62,C20)","0.1(R62,C21)","0.1(R62,C22)","0.1(R62,C23)","0.1(R62,C24)","0.1(R62,C25)","0.1(R62,C26)","-0.1(R62,C27)","0.1(R62,C28)","0.1(R62,C29)","0.1(R62,C30)","0.1(R62,C31)","0.1(R62,C32)","0.1(R62,C33)","0.1(R62,C34)","0.1(R62,C35)","0.1(R62,C36)","0.1(R62,C37)","0.1(R62,C38)","0.1(R62,C39)","-0.3(R62,C40)","0.25(R62,C41)","0.1(R62,C42)","0.1(R62,C43)","0.1(R62,C44)","0.1(R62,C45)","0.1(R62,C46)"
"0.1(R63,C1)","0.1(R63,C2)","0.1(R63,C3)","0.1(R63,C4)","0.1(R63,C5)","0.1(R63,C6)","0.1(R63,C7)","0.1(R63,C8)","-0.1(R63,C9)","-0.1(R63,C10)","-0.1(R63,C11)","0.1(R63,C12)","0.1(R63,C13)","0.1(R63,C14)","0.1(R63,C15)","0.1(R63,C16)","0.1(R63,C17)","-0.1(R63,C18)","0.1(R63,C19)","0.1(R63,C20)","0.1(R63,C21)","0.1(R63,C22)","0.1(R63,C23)","0.1(R63,C24)","0.1(R63,C25)","0.1(R63,C26)","0.1(R63,C27)","0.1(R63,C28)","0.1(R63,C29)","0.1(R63,C30)","-0.1(R63,C31)","0.1(R63,C32)","0.1(R63,C33)","0.1(R63,C34)","0.1(R63,C35)","0.1(R63,C36)","0.1(R63,C37)","0.1(R63,C38)","0.1(R63,C39)","0.3(R63,C40)","0.25(R63,C41)","0.1(R63,C42)","0.1(R63,C43)","0.1(R63,C44)","0.1(R63,C45)","0.1(R63,C46)"
"0.1(R64,C1)","0.1(R64,C2)","0.1(R64,C3)","0.1(R64,C4)","0.1(R64,C5)","0.1(R64,C6)","0.1(R64,C7)","0.1(R64,C8)","-0.1(R64,C9)","-0.1(R64,C10)","-0.1(R64,C11)","0.1(R64,C12)","0.1(R64,C13)","0.1(R64,C14)","0.1(R64,C15)","0.1(R64,C16)","0.1(R64,C17)","-0.1(R64,C18)","0.1(R64,C19)","0.1(R64,C20)","0.1(R64,C21)","0.1(R64,C22)","0.1(R64,C23)","0.1(R64,C24)","0.1(R64,C25)","0.1(R64,C26)","-0.1(R64,C27)","0.1(R64,C28)","0.1(R64,C29)","0.1(R64,C30)","-0.1(R64,C31)","0.1(R64,C32)","0.1(R64,C33)","0.1(R64,C34)","0.1(R64,C35)","0.1(R64,C36)","0.1(R64,C37)","0.1(R64,C38)","0.1(R64,C39)","-0.12(R64,C40)","-0.1(R64,C41)","0.1(R64,C42)","0.1(R64,C43)","0.1(R64,C44)","0.1(R64,C45)","0.1(R64,C46)"
"0.1(R65,C1)","0.1(R65,C2)","0.1(R65,C3)","0.1(R65,C4)","0.1(R65,C5)","0.1(R65,C6)","0.1(R65,C7)","0.1(R65,C8)","-0.1(R65,C9)","-0.1(R65,C10)","-0.1(R65,C11)","0.1(R65,C12)","0.1(R65,C13)","0.1(R65,C14)","0.1(R65,C15)","0.1(R65,C16)","0.1(R65,C17)","-0.1(R65,C18)","0.1(R65,C19)","0.1(R65,C20)","0.1(R65,C21)","0.1(R65,C22)","0.1(R65,C23)","0.1(R65,C24)","0.1(R65,C25)","0.1(R65,C26)","-0.1(R65,C27)","0.1(R65,C28)","0.1(R65,C29)","0.1(R65,C30)","-0.1(R65,C31)","0.1(R65,C32)","0.1(R65,C33)","0.1(R65,C34)","0.1(R65,C35)","0.1(R65,C36)","0.1(R65,C37)","0.1(R65,C38)","0.1(R65,C39)","-0.1(R65,C40)","-0.2(R65,C41)","0.1(R65,C42)","0.1(R65,C43)","0.1(R65,C44)","0.1(R65,C45)","0.1(R65,C46)"
"0.1(R66,C1)","0.1(R66,C2)","0.1(R66,C3)","0.1(R66,C4)","0.1(R66,C5)","0.1(R66,C6)","0.1(R66,C7)","0.1(R66,C8)","0.1(R66,C9)","0.1(R66,C10)","0.1(R66,C11)","0.1(R66,C12)","0.1(R66,C13)","0.1(R66,C14)","0.1(R66,C15)","0.1(R66,C16)","0.1(R66,C17)","0.1(R66,C18)","-0.1(R66,C19)","0.1(R66,C20)","0.1(R66,C21)","0.1(R66,C22)","0.1(R66,C23)","0.1(R66,C24)","0.1(R66,C25)","0.1(R66,C26)","0.1(R66,C27)","0.1(R66,C28)","0.1(R66,C29)","0.1(R66,C30)","0.1(R66,C31)","0.1(R66,C32)","0.1(R66,C33)","0.1(R66,C34)","0.1(R66,C35)","0.1(R66,C36)","0.1(R66,C37)","0.1(R66,C38)","0.1(R66,C39)","0.1(R66,C40)","-0.3(R66,C41)","0.1(R66,C42)","0.1(R66,C43)","0.1(R66,C44)","0.1(R66,C45)","0.1(R66,C46)"
"0.1(R67,C1)","0.1(R67,C2)","0.1(R67,C3)","0.1(R67,C4)","0.1(R67,C5)","0.1(R67,C6)","0.1(R67,C7)","0.1(R67,C8)","-0.1(R67,C9)","-0.1(R67,C10)","-0.1(R67,C11)","0.1(R67,C12)","0.1(R67,C13)","0.1(R67,C14)","0.1(R67,C15)","0.1(R67,C16)","0.1(R67,C17)","-0.1(R67,C18)","-0.1(R67,C19)","0.1(R67,C20)","0.1(R67,C21)","0.1(R67,C22)","0.1(R67,C23)","0.1(R67,C24)","0.1(R67,C25)","0.1(R67,C26)","-0.1(R67,C27)","0.1(R67,C28)","0.1(R67,C29)","0.1(R67,C30)","-0.1(R67,C31)","0.1(R67,C32)","0.1(R67,C33)","0.1(R67,C34)","0.1(R67,C35)","0.1(R67,C36)","0.1(R67,C37)","0.1(R67,C38)","0.1(R67,C39)","-0.1(R67,C40)","0.1(R67,C41)","0.1(R67,C42)","0.1(R67,C43)","0.1(R67,C44)","0.1(R67,C45)","0.1(R67,C46)"
"0.1(R68,C1)","0.1(R68,C2)","0.1(R68,C3)","0.1(R68,C4)","0.1(R68,C5)","0.1(R68,C6)","0.1(R68,C7)","0.1(R68,C8)","-0.1(R68,C9)","-0.1(R68,C10)","-0.1(R68,C11)","0.1(R68,C12)","0.1(R68,C13)","0.1(R68,C14)","0.1(R68,C15)","0.1(R68,C16)","0.1(R68,C17)","-0.1(R68,C18)","-0.1(R68,C19)","0.1(R68,C20)","0.1(R68,C21)","0.1(R68,C22)","0.1(R68,C23)","0.1(R68,C24)","0.1(R68,C25)","0.1(R68,C26)","-0.1(R68,C27)","0.1(R68,C28)","0.1(R68,C29)","0.1(R68,C30)","-0.1(R68,C31)","0.1(R68,C32)","0.1(R68,C33)","0.1(R68,C34)","0.1(R68,C35)","0.1(R68,C36)","0.1(R68,C37)","0.1(R68,C38)","0.1(R68,C39)","-0.1(R68,C40)","-0.1(R68,C41)","0.1(R68,C42)","0.1(R68,C43)","0.1(R68,C44)","0.1(R68,C45)","0.1(R68,C46)"
"0.1(R69,C1)","0.1(R69,C2)","0.1(R69,C3)","0.1(R69,C4)","0.1(R69,C5)","0.1(R69,C6)","0.1(R69,C7)","0.1(R69,C8)","0.1(R69,C9)","0.1(R69,C10)","0.1(R69,C11)","0.1(R69,C12)","0.1(R69,C13)","0.1(R69,C14)","0.1(R69,C15)","0.1(R69,C16)","0.1(R69,C17)","-0.1(R69,C18)","-0.1(R69,C19)","0.1(R69,C20)","0.1(R69,C21)","0.1(R69,C22)","0.1(R69,C23)","0.1(R69,C24)","0.1(R69,C25)","0.1(R69,C26)","-0.1(R69,C27)","0.1(R69,C28)","0.1(R69,C29)","0.1(R69,C30)","-0.1(R69,C31)","0.1(R69,C32)","0.1(R69,C33)","0.1(R69,C34)","0.1(R69,C35)","0.1(R69,C36)","0.1(R69,C37)","0.1(R69,C38)","0.1(R69,C39)","-0.3(R69,C40)","0.1(R69,C41)","0.1(R69,C42)","0.1(R69,C43)","0.1(R69,C44)","0.1(R69,C45)","0.1(R69,C46)"
"0.1(R70,C1)","0.1(R70,C2)","0.1(R70,C3)","0.1(R70,C4)","0.1(R70,C5)","0.1(R70,C6)","0.1(R70,C7)","0.1(R70,C8)","0.1(R70,C9)","0.1(R70,C10)","0.1(R70,C11)","0.1(R70,C12)","0.1(R70,C13)","0.1(R70,C14)","0.1(R70,C15)","0.1(R70,C16)","0.1(R70,C17)","-0.1(R70,C18)","-0.1(R70,C19)","0.1(R70,C20)","0.1(R70,C21)","0.1(R70,C22)","0.1(R70,C23)","0.1(R70,C24)","0.1(R70,C25)","0.1(R70,C26)","-0.1(R70,C27)","0.1(R70,C28)","0.1(R70,C29)","0.1(R70,C30)","-0.1(R70,C31)","0.1(R70,C32)","0.1(R70,C33)","0.1(R70,C34)","0.1(R70,C35)","0.1(R70,C36)","0.1(R70,C37)","0.1(R70,C38)","0.1(R70,C39)","-0.15(R70,C40)","0.1(R70,C41)","0.1(R70,C42)","0.1(R70,C43)","0.1(R70,C44)","0.1(R70,C45)","0.1(R70,C46)"
"0.1(R71,C1)","0.1(R71,C2)","0.1(R71,C3)","0.1(R71,C4)","0.1(R71,C5)","0.1(R71,C6)","0.1(R71,C7)","0.1(R71,C8)","-0.1(R71,C9)","-0.1(R71,C10)","-0.1(R71,C11)","0.1(R71,C12)","0.1(R71,C13)","0.1(R71,C14)","0.1(R71,C15)","0.1(R71,C16)","0.1(R71,C17)","-0.1(R71,C18)","-0.1(R71,C19)","0.1(R71,C20)","0.1(R71,C21)","0.1(R71,C22)","0.1(R71,C23)","0.1(R71,C24)","0.1(R71,C25)","0.1(R71,C26)","-0.1(R71,C27)","0.1(R71,C28)","0.1(R71,C29)","0.1(R71,C30)","-0.1(R71,C31)","0.1(R71,C32)","0.1(R71,C33)","0.1(R71,C34)","0.1(R71,C35)","0.1(R71,C36)","0.1(R71,C37)","0.1(R71,C38)","0.1(R71,C39)","-0.1(R71,C40)","-0.1(R71,C41)","0.1(R71,C42)","0.1(R71,C43)","0.1(R71,C44)","0.1(R71,C45)","0.1(R71,C46)"
"0.1(R72,C1)","0.1(R72,C2)","0.1(R72,C3)","0.1(R72,C4)","0.1(R72,C5)","0.1(R72,C6)","0.1(R72,C7)","0.1(R72,C8)","0.1(R72,C9)","0.1(R72,C10)","0.1(R72,C11)","0.1(R72,C12)","0.1(R72,C13)","0.1(R72,C14)","0.1(R72,C15)","0.1(R72,C16)","0.1(R72,C17)","0.1(R72,C18)","0.1(R72,C19)","0.1(R72,C20)","0.1(R72,C21)","0.1(R72,C22)","0.1(R72,C23)","0.1(R72,C24)","0.1(R72,C25)","0.1(R72,C26)","-0.1(R72,C27)","0.1(R72,C28)","0.1(R72,C29)","0.1(R72,C30)","0.1(R72,C31)","0.1(R72,C32)","0.1(R72,C33)","0.1(R72,C34)","0.1(R72,C35)","0.1(R72,C36)","0.1(R72,C37)","0.1(R72,C38)","0.1(R72,C39)","0.5(R72,C40)","0.5(R72,C41)","0.1(R72,C42)","0.1(R72,C43)","0.1(R72,C44)","0.1(R72,C45)","0.1(R72,C46)"
"0.1(R73,C1)","0.1(R73,C2)","0.1(R73,C3)","0.1(R73,C4)","0.1(R73,C5)","0.1(R73,C6)","0.1(R73,C7)","0.1(R73,C8)","-0.1(R73,C9)","-0.1(R73,C10)","-0.1(R73,C11)","0.1(R73,C12)","0.1(R73,C13)","0.1(R73,C14)","0.1(R73,C15)","0.1(R73,C16)","0.1(R73,C17)","-0.1(R73,C18)","-0.1(R73,C19)","0.1(R73,C20)","0.1(R73,C21)","0.1(R73,C22)","0.1(R73,C23)","0.1(R73,C24)","0.1(R73,C25)","0.1(R73,C26)","0.1(R73,C27)","0.1(R73,C28)","0.1(R73,C29)","0.1(R73,C30)","-0.1(R73,C31)","0.1(R73,C32)","0.1(R73,C33)","0.1(R73,C34)","0.1(R73,C35)","0.1(R73,C36)","0.1(R73,C37)","0.1(R73,C38)","0.1(R73,C39)","-0.2(R73,C40)","-0.2(R73,C41)","0.1(R73,C42)","0.1(R73,C43)","0.1(R73,C44)","0.1(R73,C45)","0.1(R73,C46)"
"0.1(R74,C1)","0.1(R74,C2)","0.1(R74,C3)","0.1(R74,C4)","0.1(R74,C5)","0.1(R74,C6)","0.1(R74,C7)","0.1(R74,C8)","-0.1(R74,C9)","-0.1(R74,C10)","-0.1(R74,C11)","0.1(R74,C12)","0.1(R74,C13)","0.1(R74,C14)","0.1(R74,C15)","0.1(R74,C16)","0.1(R74,C17)","0.1(R74,C18)","0.1(R74,C19)","0.1(R74,C20)","0.1(R74,C21)","0.1(R74,C22)","0.1(R74,C23)","0.1(R74,C24)","0.1(R74,C25)","0.1(R74,C26)","0.1(R74,C27)","0.1(R74,C28)","0.1(R74,C29)","0.1(R74,C30)","0.1(R74,C31)","0.1(R74,C32)","0.1(R74,C33)","0.1(R74,C34)","0.1(R74,C35)","0.1(R74,C36)","0.1(R74,C37)","0.1(R74,C38)","0.1(R74,C39)","0.5(R74,C40)","0.5(R74,C41)","0.1(R74,C42)","0.1(R74,C43)","0.1(R74,C44)","0.1(R74,C45)","0.1(R74,C46)"
"0.1(R75,C1)","0.1(R75,C2)","0.1(R75,C3)","0.1(R75,C4)","0.1(R75,C5)","0.1(R75,C6)","0.1(R75,C7)","0.1(R75,C8)","0.1(R75,C9)","0.1(R75,C10)","0.1(R75,C11)","0.1(R75,C12)","0.1(R75,C13)","0.1(R75,C14)","0.1(R75,C15)","0.1(R75,C16)","0.1(R75,C17)","0.1(R75,C18)","0.1(R75,C19)","0.1(R75,C20)","0.1(R75,C21)","0.1(R75,C22)","0.1(R75,C23)","0.1(R75,C24)","0.1(R75,C25)","0.1(R75,C26)","0.1(R75,C27)","0.1(R75,C28)","0.1(R75,C29)","0.1(R75,C30)","0.1(R75,C31)","0.1(R75,C32)","0.1(R75,C33)","0.1(R75,C34)","0.1(R75,C35)","0.1(R75,C36)","0.1(R75,C37)","0.1(R75,C38)","0.1(R75,C39)","0.1(R75,C40)","0.1(R75,C41)","0.1(R75,C42)","0.1(R75,C43)","0.1(R75,C44)","0.1(R75,C45)","0.1(R75,C46)"
"0.1(R76,C1)","0.1(R76,C2)","0.1(R76,C3)","0.1(R76,C4)","0.1(R76,C5)","0.1(R76,C6)","0.1(R76,C7)","0.1(R76,C8)","0.1(R76,C9)","0.1(R76,C10)","0.1(R76,C11)","0.1(R76,C12)","0.1(R76,C13)","0.1(R76,C14)","0.1(R76,C15)","0.1(R76,C16)","0.1(R76,C17)","0.1(R76,C18)","0.1(R76,C19)","0.1(R76,C20)","0.1(R76,C21)","0.1(R76,C22)","0.1(R76,C23)","0.1(R76,C24)","0.1(R76,C25)","0.1(R76,C26)","0.1(R76,C27)","0.1(R76,C28)","0.1(R76,C29)","0.1(R76,C30)","0.1(R76,C31)","0.1(R76,C32)","0.1(R76,C33)","0.1(R76,C34)","0.1(R76,C35)","0.1(R76,C36)","0.1(R76,C37)","0.1(R76,C38)","0.1(R76,C39)","0.1(R76,C40)","-0.5(R76,C41)","0.1(R76,C42)","0.1(R76,C43)","0.1(R76,C44)","0.1(R76,C45)","0.1(R76,C46)"
